dataset,profile,cost_mode,segment_type,segment_value,n_test,tie_count,tie_rate,coverage_count,coverage_rate,disagree_count,disagree_rate_all,disagree_rate_covered
stageb,q20_c80,gross,pattern,hierarchical,17,6,0.35294117647058826,11,0.6470588235294118,1,0.058823529411764705,0.09090909090909091
stageb,q20_c80,net,pattern,hierarchical,17,2,0.11764705882352941,15,0.8823529411764706,2,0.11764705882352941,0.13333333333333333
stageb,q20_c80,delta_net_minus_gross,pattern,hierarchical,17,-4,-0.23529411764705885,4,0.23529411764705876,1,0.058823529411764705,0.04242424242424242
stageb,q80_c20,gross,pattern,lazy,18,7,0.3888888888888889,11,0.6111111111111112,2,0.1111111111111111,0.18181818181818182
stageb,q80_c20,net,pattern,lazy,18,5,0.2777777777777778,13,0.7222222222222222,3,0.16666666666666666,0.23076923076923078
stageb,q80_c20,delta_net_minus_gross,pattern,lazy,18,-2,-0.1111111111111111,2,0.11111111111111105,1,0.05555555555555555,0.04895104895104896
stageb,q50_c50,gross,pattern,lazy,18,7,0.3888888888888889,11,0.6111111111111112,1,0.05555555555555555,0.09090909090909091
stageb,q50_c50,net,pattern,lazy,18,1,0.05555555555555555,17,0.9444444444444444,4,0.2222222222222222,0.23529411764705882
stageb,q50_c50,delta_net_minus_gross,pattern,lazy,18,-6,-0.33333333333333337,6,0.33333333333333326,3,0.16666666666666666,0.1443850267379679
stageb,q20_c80,gross,pattern,lazy,18,7,0.3888888888888889,11,0.6111111111111112,1,0.05555555555555555,0.09090909090909091
stageb,q20_c80,net,pattern,lazy,18,2,0.1111111111111111,16,0.8888888888888888,2,0.1111111111111111,0.125
stageb,q20_c80,delta_net_minus_gross,pattern,lazy,18,-5,-0.2777777777777778,5,0.2777777777777777,1,0.05555555555555555,0.03409090909090909
